name,animaltype,breed,colour,sex,suburb,AgeYears
DOLLY ,CAT ,DOMESTIC SHORT HAIR ,GREY/WHITE ,F,BANNOCKBURN,
EMMI ,DOG ,JACK RUSSELL TERRIER ,WHITE ,F,BANNOCKBURN,
KES ,DOG ,MINIATURE FOX TERRIER ,BLACK/WHITE ,F,BANNOCKBURN,
COCO ,DOG ,ENGLISH POINTER ,WHITE/BROWN ,F,BANNOCKBURN,
BOO ,CAT ,DOMESTIC SHORT HAIR ,BLACK ,M,BANNOCKBURN,
FLYNN ,CAT ,DOMESTIC SHORT HAIR ,SMOKEY GREY ,M,BANNOCKBURN,
RUSSELL ,DOG ,BORDER COLLIE ,BLACK/WHITE ,M,BANNOCKBURN,
SLINKY ,DOG ,DACHSHUND ,TAN ,F,BANNOCKBURN,
PILCHARD ,CAT ,DOMESTIC SHORT HAIR ,TABBY ,M,BANNOCKBURN,
LILY ,DOG ,COCKER SPANIEL ,GOLDEN ,F,BANNOCKBURN,
LACEY ,DOG ,CAVALIER KING CHARLES SPANIEL ,BLENHEIM ,F,BANNOCKBURN,
COCO ,DOG ,MALT./SHIH TZU X ,FAWN ,F,BANNOCKBURN,
TOBY ,DOG ,FOX TERRIER ,BLACK AND WHITE ,M,BANNOCKBURN,
ZOE ,DOG ,KELPIE X ,BLACK ,F,BANNOCKBURN,
DEEKS ,DOG ,BORDER COLLIE ,BLACK & TAN ,M,BANNOCKBURN,
LUCY ,DOG ,BORDER COLLIE ,BLACK & WHITE ,F,BANNOCKBURN,
PEE WEE ,DOG ,CHIHUAHUA ,TAN & WHITE ,M,BANNOCKBURN,
SOOTY ,CAT ,DOMESTIC SHORT HAIR ,BLACK ,F,BANNOCKBURN,
TILLY ,CAT ,BRITISH SHORT HAIR ,LILAC ,F,BANNOCKBURN,
TEDDY ,CAT ,BRITISH SHORT HAIR ,BLACK ,M,BANNOCKBURN,
KALAME ARGENTUM ARCH ,CAT ,BRITISH SHORT HAIR ,SILVER CLASSIC ,M,BANNOCKBURN,
BRITZOBEALITY ,CAT ,BRITISH SHORT HAIR ,BLUE ,F,BANNOCKBURN,
CROMWELL EWIN ,CAT ,BRITISH SHORT HAIR ,BLUE ,M,BANNOCKBURN,
VALE OF PROUDS ,CAT ,BRITISH SHORT HAIR ,BLACK/SILVER ,F,BANNOCKBURN,
KALAME MUSIDORA ,CAT ,BRITISH SHORT HAIR ,BLUE ,F,BANNOCKBURN,
CROMWELL  ANNIES DREAM ,CAT ,BRITISH SHORT HAIR ,BLUE ,F,BANNOCKBURN,
BLUE WERNERWEN ,CAT ,BRITISH SHORT HAIR ,BLUE ,M,BANNOCKBURN,
LYNX HIP HOP ,CAT ,BRITISH SHORT HAIR ,BLUE TORTE ,F,BANNOCKBURN,
KALAME ONCE IN A BLU ,CAT ,BRITISH SHORT HAIR ,BLUE ,F,BANNOCKBURN,
BRITZ ICE BABY ,CAT ,BRITISH SHORT HAIR ,SILVER CLASSIC ,F,BANNOCKBURN,
TOPKATZ CADILAC JACK ,CAT ,BRITISH SHORT HAIR ,BLUE ,M,BANNOCKBURN,
KALAME ABSALOM ,CAT ,BRITISH SHORT HAIR ,BLUE ,M,BANNOCKBURN,
WERNERWALD (IMP GER) ,CAT ,BRITISH SHORT HAIR ,BLUE ,M,BANNOCKBURN,
KALAME SHULAMMTIE ,CAT ,BRITISH SHORT HAIR ,BLUE ,F,BANNOCKBURN,
LEE ,DOG ,BORDER COLLIE ,CHOCOLATE AND WHITE ,F,BANNOCKBURN,
ANTHONOUS ,DOG ,BORDER COLLIE ,BLACK & WHITE ,M,BANNOCKBURN,
MISSY ,DOG ,BORDER COLLIE ,TAN ,F,BANNOCKBURN,
VALE OF PRODUDS VERY ,CAT ,BRITISH SHORT HAIR ,BLACK SILVER ,M,BANNOCKBURN,
JESSIE ,DOG ,BEAGLE ,TRI-COLOUR ,F,BANNOCKBURN,
BONNIE ,DOG ,BORDER COLLIE ,BLACK/WHITE ,F,BANNOCKBURN,
SAMMY ,DOG ,FOX TERRIER ,WHITE/BLACK ,M,BANNOCKBURN,
MINDY ,DOG ,FOX TERRIER ,WHITE ,F,BANNOCKBURN,
HEIDI ,DOG ,DACHSHUND ,BLACK/TAN ,F,BANNOCKBURN,
JESSICA ,DOG ,STAFFORDSHIRE BULL TERRIER X ,TAN ,F,BANNOCKBURN,
COCO ,DOG ,LABRADOR X ,CHOCOLATE ,F,BANNOCKBURN,
SMOKEY ,CAT ,DOMESTIC SHORT HAIR ,TABBY ,F,BANNOCKBURN,
BELLA ,DOG ,CAVALIER KING CHARLES SPANIEL ,BLACK/WHITE ,F,BANNOCKBURN,
CHLOE ,DOG ,CHIHUAHUA X ,TRI COLOUR ,F,BANNOCKBURN,
PRADA ,DOG ,SHETLAND SHEEPDOG ,TRI ,F,BANNOCKBURN,
PEARL ,DOG ,SHETLAND SHEEPDOG ,TRI ,F,BANNOCKBURN,
WALLY ,CAT ,DOMESTIC LONG HAIR ,GINGER/WHITE ,M,BANNOCKBURN,
COCO ,CAT ,DOMESTIC SHORT HAIR ,BLACK & BROWN ,F,BANNOCKBURN,
BELLA ,DOG ,GERMAN SHEPHERD X ,BLACK/WHITE/TAN ,F,BANNOCKBURN,
CHAMPION ,DOG ,MAREMMA ,WHITE WITH PATCHES ,M,BANNOCKBURN,
SMOKY ,CAT ,DOMESTIC SHORT HAIR ,GREY ,M,BANNOCKBURN,
MIA ,CAT ,BURMESE ,BROWN ,F,BANNOCKBURN,
SOOTIE ,CAT ,DOMESTIC SHORT HAIR ,BLACK ,M,BANNOCKBURN,
BLUE ,DOG ,BLUE HEELER ,BLUE ,M,BANNOCKBURN,
BARRY ,CAT ,DOMESTIC LONG HAIR ,GREY/WHITE ,M,BANNOCKBURN,
AKANA ,DOG ,MASTIFF X ,BLACK WHITE ,F,BANNOCKBURN,
BANNY ,DOG ,BLUE HEELER X ,BLUE MERLE ,F,BANNOCKBURN,
BONNY ,CAT ,DOMESTIC SHORT HAIR ,BLACK/WHITE ,F,BANNOCKBURN,
TED ,DOG ,KELPIE ,BLACK/TAN ,M,BANNOCKBURN,
LINCOLN ,DOG ,ROTTWEILER ,BLACK AND TAN ,M,BANNOCKBURN,
OLI ,DOG ,ROTTWEILER ,BLACK AND TAN ,F,BANNOCKBURN,
LEWIS ,DOG ,ROTTWEILER ,BLACK AND TAN ,M,BANNOCKBURN,
HERBIE ,DOG ,ROTTWEILER ,BLACK/TAN ,F,BANNOCKBURN,
